pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
K2-374 c,K2-374,1,2,Transit,2022,K2,0,16.43445,0.002378,-0.002702,0.0,,,,,2.213,0.091,-0.086,0.0,0.197,0.008,-0.008,0.0,5.53,,,0.0,0.0174,,,0.0,M-R relationship,,,,,,,,,,,,,0,G3,5789.0,21.0,-21.0,0.0,0.91,0.02,-0.02,0.0,0.73,0.07,-0.06,0.0,-0.292,0.02,-0.02,0.0,[Fe/H],4.39,0.04,-0.04,0.0,09h09m31.08s,137.3794986,+16d21m21.00s,16.3558324,359.439,5.293,-5.144,12.783,0.092,-0.092,11.287,0.02,-0.02,12.6473,0.000177,-0.000177
K2-376 b,K2-376,1,1,Transit,2022,K2,0,5.776475,0.000261,-0.000237,0.0,,,,,1.736,0.125,-0.119,0.0,0.155,0.011,-0.011,0.0,3.66,,,0.0,0.0115,,,0.0,M-R relationship,,,,,,,,,,,,,0,G1,5937.0,138.0,-138.0,0.0,1.15,0.07,-0.06,0.0,0.91,0.39,-0.28,0.0,-0.176,0.235,-0.235,0.0,[Fe/H],4.28,0.15,-0.15,0.0,08h50m52.64s,132.7193327,+25d02m17.10s,25.0380824,161.61,1.332,-1.31,10.415,0.006,-0.006,9.007,0.016,-0.016,10.2998,0.000203,-0.000203
K2-38 c,K2-38,1,2,Transit,2016,K2,0,10.56103,0.0009,-0.0009,0.0,0.09514,0.00091,-0.00094,0.0,2.29,0.26,-0.26,0.0,0.204,0.023,-0.023,0.0,8.3,1.3,-1.3,0.0,0.02611,0.00409,-0.00409,0.0,Mass,0.161,0.096,-0.078,0.0,117.0,18.0,-16.0,0.0,916.0,32.0,-37.0,0.0,0,G2 V,5731.0,66.0,-66.0,0.0,1.06,0.09,-0.06,0.0,1.03,0.04,-0.02,0.0,0.26,0.05,-0.05,0.0,[Fe/H],4.38,0.11,-0.11,0.0,16h00m07.99s,240.0333095,-23d11m21.91s,-23.1894196,192.69,2.669,-2.597,11.344,0.023,-0.023,9.47,0.021,-0.021,11.184,0.001015,-0.001015
K2-388 b,K2-388,1,1,Transit,2022,K2,0,6.339069,0.000225,-0.000186,0.0,,,,,3.66,0.33,-0.229,0.0,0.327,0.029,-0.02,0.0,13.0,,,0.0,0.0409,,,0.0,M-R relationship,,,,,,,,,,,,,0,G8,5367.0,138.0,-138.0,0.0,0.9,0.06,-0.05,0.0,0.84,0.38,-0.26,0.0,0.124,0.235,-0.235,0.0,[Fe/H],4.46,0.15,-0.15,0.0,23h30m51.34s,352.7139342,-11d04m38.48s,-11.0773564,290.495,4.305,-4.184,12.861,0.114,-0.114,10.931,0.021,-0.021,12.6357,0.00034,-0.00034
K2-389 b,K2-389,1,2,Transit,2022,K2,0,8.584043,0.000888,-0.002026,0.0,,,,,2.184,0.118,-0.114,0.0,0.195,0.011,-0.01,0.0,5.41,,,0.0,0.017,,,0.0,M-R relationship,,,,,,,,,,,,,0,G3,5782.0,138.0,-138.0,0.0,1.08,0.07,-0.06,0.0,0.8,0.36,-0.25,0.0,-0.034,0.235,-0.235,0.0,[Fe/H],4.27,0.15,-0.15,0.0,23h42m31.30s,355.6304152,-09d42m48.89s,-9.7135814,259.208,2.95,-2.885,11.827,0.046,-0.046,10.184,0.024,-0.024,11.5697,0.00034,-0.00034
K2-389 c,K2-389,1,2,Transit,2022,K2,0,20.851337,0.002804,-0.002981,0.0,,,,,2.04,0.151,-0.138,0.0,0.182,0.013,-0.012,0.0,4.82,,,0.0,0.0152,,,0.0,M-R relationship,,,,,,,,,,,,,0,G3,5782.0,138.0,-138.0,0.0,1.08,0.07,-0.06,0.0,0.8,0.36,-0.25,0.0,-0.034,0.235,-0.235,0.0,[Fe/H],4.27,0.15,-0.15,0.0,23h42m31.30s,355.6304152,-09d42m48.89s,-9.7135814,259.208,2.95,-2.885,11.827,0.046,-0.046,10.184,0.024,-0.024,11.5697,0.00034,-0.00034
K2-392 b,K2-392,1,1,Transit,2022,K2,0,15.398723,0.002422,-0.00193,0.0,,,,,1.85,0.161,-0.154,0.0,0.165,0.014,-0.014,0.0,4.08,,,0.0,0.0128,,,0.0,M-R relationship,,,,,,,,,,,,,0,G3,5726.0,138.0,-138.0,0.0,1.06,0.07,-0.07,0.0,0.84,0.37,-0.26,0.0,-0.238,0.235,-0.235,0.0,[Fe/H],4.31,0.15,-0.15,0.0,23h38m35.98s,354.6499065,-07d28m43.97s,-7.4788816,406.985,10.589,-10.074,12.922,0.092,-0.092,11.238,0.024,-0.024,12.6795,0.000359,-0.000359
K2-395 b,K2-395,1,2,Transit,2022,K2,0,4.803352,0.000357,-0.000466,0.0,,,,,2.597,0.192,-0.178,0.0,0.232,0.017,-0.016,0.0,7.26,,,0.0,0.0228,,,0.0,M-R relationship,,,,,,,,,,,,,0,K0,5007.0,138.0,-138.0,0.0,0.78,0.05,-0.05,0.0,0.95,0.42,-0.29,0.0,-0.033,0.235,-0.235,0.0,[Fe/H],4.63,0.15,-0.15,0.0,04h41m46.53s,70.4438684,+16d40m27.63s,16.6743415,286.727,3.103,-3.038,15.131,0.069,-0.069,11.365,0.018,-0.018,14.1559,0.000191,-0.000191
K2-395 c,K2-395,1,2,Transit,2022,K2,0,8.491282,0.000335,-0.000304,0.0,,,,,3.395,0.28,-0.257,0.0,0.303,0.025,-0.023,0.0,11.4,,,0.0,0.036,,,0.0,M-R relationship,,,,,,,,,,,,,0,K0,5007.0,138.0,-138.0,0.0,0.78,0.05,-0.05,0.0,0.95,0.42,-0.29,0.0,-0.033,0.235,-0.235,0.0,[Fe/H],4.63,0.15,-0.15,0.0,04h41m46.53s,70.4438684,+16d40m27.63s,16.6743415,286.727,3.103,-3.038,15.131,0.069,-0.069,11.365,0.018,-0.018,14.1559,0.000191,-0.000191
K2-396 c,K2-396,1,2,Transit,2022,K2,0,25.76051,0.001999,-0.001887,0.0,,,,,3.124,0.178,-0.112,0.0,0.279,0.016,-0.01,0.0,9.93,,,0.0,0.0312,,,0.0,M-R relationship,,,,,,,,,,,,,0,G9,5236.0,138.0,-138.0,0.0,0.92,0.06,-0.06,0.0,0.95,0.43,-0.29,0.0,0.237,0.235,-0.235,0.0,[Fe/H],4.49,0.15,-0.15,0.0,04h58m46.29s,74.6928607,+17d16m08.60s,17.2690562,274.864,2.884,-2.825,13.32,0.069,-0.069,10.811,0.02,-0.02,12.9345,0.000339,-0.000339
