+------+----------------------+--------------------+-----------+-----------+---------------------------+-------------+----------------------------------------------+-------------------+-------------+-----------------+-----------------+----------------+--------------+------------------+------------------+-----------------+-----------+---------------+---------------+--------------+-----------+---------------+---------------+--------------+-------------+-----------------+-----------------+----------------+-------------+-----------------+-----------------+----------------+------------------+---------------+-------------------+-------------------+------------------+------------+----------------+----------------+---------------+----------+--------------+--------------+-------------+------------+---------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+---------------+-----------+---------------+---------------+--------------+--------------+-----------+---------------+------------+------------+---------------+---------------+-----------+---------------+---------------+-----------+---------------+---------------+--------------+------------------+------------------+
|      | pl_name              | hostname           |   sy_snum |   sy_pnum | discoverymethod           |   disc_year | disc_facility                                |   pl_controv_flag |   pl_orbper |   pl_orbpererr1 |   pl_orbpererr2 |   pl_orbperlim |   pl_orbsmax |   pl_orbsmaxerr1 |   pl_orbsmaxerr2 |   pl_orbsmaxlim |   pl_rade |   pl_radeerr1 |   pl_radeerr2 |   pl_radelim |   pl_radj |   pl_radjerr1 |   pl_radjerr2 |   pl_radjlim |   pl_bmasse |   pl_bmasseerr1 |   pl_bmasseerr2 |   pl_bmasselim |   pl_bmassj |   pl_bmassjerr1 |   pl_bmassjerr2 |   pl_bmassjlim | pl_bmassprov     |   pl_orbeccen |   pl_orbeccenerr1 |   pl_orbeccenerr2 |   pl_orbeccenlim |   pl_insol |   pl_insolerr1 |   pl_insolerr2 |   pl_insollim |   pl_eqt |   pl_eqterr1 |   pl_eqterr2 |   pl_eqtlim |   ttv_flag | st_spectype   |   st_teff |   st_tefferr1 |   st_tefferr2 |   st_tefflim |   st_rad |   st_raderr1 |   st_raderr2 |   st_radlim |   st_mass |   st_masserr1 |   st_masserr2 |   st_masslim |   st_met |   st_meterr1 |   st_meterr2 |   st_metlim | st_metratio   |   st_logg |   st_loggerr1 |   st_loggerr2 |   st_logglim | rastr        |        ra | decstr        |        dec |    sy_dist |   sy_disterr1 |   sy_disterr2 |   sy_vmag |   sy_vmagerr1 |   sy_vmagerr2 |   sy_kmag |   sy_kmagerr1 |   sy_kmagerr2 |   sy_gaiamag |   sy_gaiamagerr1 |   sy_gaiamagerr2 |
|------+----------------------+--------------------+-----------+-----------+---------------------------+-------------+----------------------------------------------+-------------------+-------------+-----------------+-----------------+----------------+--------------+------------------+------------------+-----------------+-----------+---------------+---------------+--------------+-----------+---------------+---------------+--------------+-------------+-----------------+-----------------+----------------+-------------+-----------------+-----------------+----------------+------------------+---------------+-------------------+-------------------+------------------+------------+----------------+----------------+---------------+----------+--------------+--------------+-------------+------------+---------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+---------------+-----------+---------------+---------------+--------------+--------------+-----------+---------------+------------+------------+---------------+---------------+-----------+---------------+---------------+-----------+---------------+---------------+--------------+------------------+------------------|
|   30 | 55 Cnc e             | 55 Cnc             |         2 |         5 | Radial Velocity           |        2004 | McDonald Observatory                         |                 0 |    0.736547 |      1.3e-06    |     -1.4e-06    |              0 |     0.01544  |         5e-05    |        -5e-05    |               0 |     1.875 |         0.029 |        -0.029 |            0 |     0.167 |         0.003 |        -0.003 |            0 |     7.99    |         0.32    |        -0.33    |              0 |     0.02514 |         0.00101 |        -0.00104 |              0 | Mass             |      0.05     |          0.03     |         -0.03     |                0 |    2657.83 |         nan    |         nan    |             0 |     1958 |           15 |          -15 |           0 |          0 | G8 V          |   5172    |         18    |        -18    |            0 |     0.94 |         0.01 |        -0.01 |           0 |      0.91 |          0.02 |         -0.02 |            0 |    0.35  |        0.1   |       -0.1   |           0 | [Fe/H]        |      4.43 |          0.02 |         -0.02 |            0 | 08h52m35.24s | 133.147   | +28d19m47.34s |  28.3298   |   12.5855  |       0.0124  |      -0.0123  |   5.95084 |        0.023  |       -0.023  |     4.015 |         0.036 |        -0.036 |      5.72973 |        0.0008523 |       -0.0008523 |
|   33 | 61 Vir b             | 61 Vir             |         1 |         3 | Radial Velocity           |        2009 | Multiple Observatories                       |                 0 |    4.215    |      0.0006     |     -0.0006     |              0 |     0.050201 |         5e-06    |        -5e-06    |               0 |     2.11  |       nan     |       nan     |            0 |     0.188 |       nan     |       nan     |            0 |     5.1     |         0.5     |        -0.5     |              0 |     0.016   |         0.002   |        -0.002   |              0 | Msini            |      0.12     |          0.11     |         -0.11     |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | G5 V          |   5577    |         33    |        -33    |            0 |     0.96 |         0.01 |        -0.01 |           0 |      0.94 |          0.03 |         -0.03 |            0 |   -0.01  |      nan     |      nan     |           0 | [Fe/H]        |      4.34 |          0.03 |         -0.03 |            0 | 13h18m23.15s | 199.596   | -18d18m56.79s | -18.3158   |    8.50332 |       0.01737 |      -0.0173  |   4.6955  |        0.0462 |       -0.0462 |     2.956 |         0.236 |        -0.236 |      4.54052 |        0.0055701 |       -0.0055701 |
|   55 | BD+20 594 b          | BD+20 594          |         1 |         1 | Transit                   |        2016 | K2                                           |                 0 |   41.6855   |      0.003      |     -0.003      |              0 |     0.241    |         0.019    |        -0.017    |               0 |     2.578 |         0.112 |        -0.112 |            0 |     0.23  |         0.01  |        -0.01  |            0 |    22.2481  |         9.5349  |        -9.5349  |              0 |     0.07    |         0.03    |        -0.03    |              0 | Mass             |      0        |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |      546 |           19 |          -18 |           0 |          0 | G             |   5766    |         99    |        -99    |            0 |     1.08 |         0.06 |        -0.06 |           0 |      1.67 |          0.4  |         -0.4  |            0 |   -0.15  |      nan     |      nan     |           0 | [Fe/H]        |      4.5  |          0.08 |         -0.08 |            0 | 03h34m36.27s |  53.6511  | +20d35m56.47s |  20.599    |  179.461   |       1.257   |      -1.24    |  10.849   |        0.012  |       -0.012  |     9.368 |         0.018 |        -0.018 |     10.8644  |        0.000249  |       -0.000249  |
|   64 | BD-06 1339 b         | BD-06 1339         |         1 |         2 | Radial Velocity           |        2013 | La Silla Observatory                         |                 1 |    3.8728   |      0.0004     |     -0.0004     |              0 |     0.0428   |         0.0007   |        -0.0007   |               0 |     2.85  |       nan     |       nan     |            0 |     0.254 |       nan     |       nan     |            0 |     8.5     |         1.3     |        -1.3     |              0 |     0.027   |         0.004   |        -0.004   |              0 | Msini            |      0        |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | K7/M0 V       |   4324    |        100    |       -100    |            0 |     0.69 |         0.06 |        -0.07 |           0 |      0.7  |        nan    |        nan    |            0 |   -0.14  |        0.17  |       -0.17  |           0 | [Fe/H]        |      4.74 |          0.02 |         -0.02 |            0 | 05h53m00.28s |  88.2512  | -05d59m46.82s |  -5.99634  |   20.2695  |       0.022   |      -0.0218  |   9.7     |        0.03   |       -0.03   |     6.305 |         0.018 |        -0.018 |      9.10677 |        0.000602  |       -0.000602  |
|   66 | BD-08 2823 b         | BD-08 2823         |         1 |         2 | Radial Velocity           |        2009 | La Silla Observatory                         |                 0 |    5.6      |      0.02       |     -0.02       |              0 |     0.06     |         0        |         0        |               0 |     3.61  |       nan     |       nan     |            0 |     0.322 |       nan     |       nan     |            0 |    12.7132  |         3.1783  |        -3.1783  |              0 |     0.04    |         0.01    |        -0.01    |              0 | Msini            |      0.15     |          0.15     |         -0.15     |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | K3 V          |   4816    |        114    |       -114    |            0 |     0.71 |         0.04 |        -0.04 |           0 |      0.5  |          0.26 |         -0.26 |            0 |   -0.06  |      nan     |      nan     |           0 | [Fe/H]        |      4.43 |          0.22 |         -0.22 |            0 | 10h00m47.33s | 150.197   | -09d30m59.65s |  -9.51657  |   41.3342  |       0.0685  |      -0.0682  |   9.86    |        0.03   |       -0.03   |     7.323 |         0.021 |        -0.021 |      9.50331 |        0.000418  |       -0.000418  |
|   96 | CoRoT-24 b           | CoRoT-24           |         1 |         2 | Transit                   |        2014 | CoRoT                                        |                 0 |    5.1134   |      0.0006     |     -0.0006     |              0 |     0.056    |         0.002    |        -0.002    |               0 |     3.7   |         0.4   |        -0.4   |            0 |     0.33  |         0.04  |        -0.04  |            0 |     5.7     |       nan       |       nan       |              1 |     0.018   |       nan       |       nan       |              1 | Mass             |      0        |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |     1070 |          140 |         -140 |           0 |          0 | K1 V          |   4950    |        150    |       -150    |            0 |     0.86 |         0.09 |        -0.09 |           0 |      0.91 |          0.09 |         -0.09 |            0 |    0.3   |        0.15  |       -0.15  |           0 | [Fe/H]        |      4.55 |          0.15 |         -0.15 |            0 | 06h47m41.41s | 101.923   | -03d43m09.44s |  -3.71929  |  591.555   |      16.043   |     -15.232   |  15.383   |        0.114  |       -0.114  |    12.924 |         0.024 |        -0.024 |     15.1801  |        0.000631  |       -0.000631  |
|  111 | CoRoT-7 b            | CoRoT-7            |         1 |         3 | Transit                   |        2009 | CoRoT                                        |                 0 |    0.853592 |      1e-08      |     -1e-08      |              0 |     0.017016 |         0.00017  |        -3.6e-05  |               0 |     1.681 |         0.112 |        -0.112 |            0 |     0.15  |         0.01  |        -0.01  |            0 |     4.07661 |         1.01982 |        -1.01982 |              0 |     0.01283 |         0.00321 |        -0.00321 |              0 | Mass             |      0        |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |     1756 |           27 |          -27 |           0 |          0 | G9 V          |   5275    |         75    |        -75    |            0 |     0.83 |         0.04 |        -0.04 |           0 |      0.82 |          0.17 |         -0.17 |            0 |    0.05  |      nan     |      nan     |           0 | [Fe/H]        |      4.5  |          0.1  |         -0.1  |            0 | 06h43m49.48s | 100.956   | -01d03m46.83s |  -1.06301  |  159.906   |       0.917   |      -0.906   |  11.728   |        0.027  |       -0.027  |     9.806 |         0.021 |        -0.021 |     11.5239  |        0.000462  |       -0.000462  |
|  112 | CoRoT-7 c            | CoRoT-7            |         1 |         3 | Radial Velocity           |        2009 | CoRoT                                        |                 0 |    3.698    |      0.003      |     -0.003      |              0 |     0.046    |       nan        |       nan        |               0 |     2.83  |       nan     |       nan     |            0 |     0.253 |       nan     |       nan     |            0 |     8.4     |         0.9     |        -0.9     |              0 |     0.02643 |         0.00283 |        -0.00283 |              0 | Mass             |      0        |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | G9 V          |   5256    |         91.33 |       -130.85 |            0 |     0.86 |         0.05 |        -0.04 |           0 |      0.9  |          0.12 |         -0.1  |            0 |    0.06  |        0.1   |       -0.1   |           0 | [M/H]         |      4.52 |          0.08 |         -0.08 |            0 | 06h43m49.48s | 100.956   | -01d03m46.83s |  -1.06301  |  159.906   |       0.917   |      -0.906   |  11.728   |        0.027  |       -0.027  |     9.806 |         0.021 |        -0.021 |     11.5239  |        0.000462  |       -0.000462  |
|  121 | DMPP-1 c             | DMPP-1             |         1 |         4 | Radial Velocity           |        2019 | La Silla Observatory                         |                 0 |    6.584    |      0.003      |     -0.002      |              0 |     0.0733   |         0.0006   |        -0.0007   |               0 |     3.06  |       nan     |       nan     |            0 |     0.273 |       nan     |       nan     |            0 |     9.6     |         0.53    |        -1.58    |              0 |     0.0302  |         0.00167 |        -0.00497 |              0 | Msini            |      0.057    |        nan        |        nan        |                1 |     nan    |         nan    |         nan    |           nan |     1239 |          nan |          nan |           0 |          0 | F8 V          |   6196    |         29    |        -29    |            0 |     1.26 |         0.02 |        -0.02 |           0 |      1.21 |          0.03 |         -0.03 |            0 |  nan     |      nan     |      nan     |         nan | nan           |      4.41 |          0.21 |         -0.21 |            0 | 05h47m06.27s |  86.7761  | -10d37m49.16s | -10.6303   |   62.5388  |       0.1782  |      -0.1773  |   7.98    |        0.03   |       -0.03   |     6.69  |         0.024 |        -0.024 |      7.85032 |        0.00029   |       -0.00029   |
