+------+----------------------+--------------------+-----------+-----------+-------------------+-------------+----------------------------------------------+-------------------+-------------+-----------------+-----------------+----------------+--------------+------------------+------------------+-----------------+-----------+---------------+---------------+--------------+-----------+---------------+---------------+--------------+-------------+-----------------+-----------------+----------------+-------------+-----------------+-----------------+----------------+------------------+---------------+-------------------+-------------------+------------------+------------+----------------+----------------+---------------+----------+--------------+--------------+-------------+------------+---------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+---------------+-----------+---------------+---------------+--------------+--------------+-----------+---------------+------------+------------+---------------+---------------+-----------+---------------+---------------+-----------+---------------+---------------+--------------+------------------+------------------+
|      | pl_name              | hostname           |   sy_snum |   sy_pnum | discoverymethod   |   disc_year | disc_facility                                |   pl_controv_flag |   pl_orbper |   pl_orbpererr1 |   pl_orbpererr2 |   pl_orbperlim |   pl_orbsmax |   pl_orbsmaxerr1 |   pl_orbsmaxerr2 |   pl_orbsmaxlim |   pl_rade |   pl_radeerr1 |   pl_radeerr2 |   pl_radelim |   pl_radj |   pl_radjerr1 |   pl_radjerr2 |   pl_radjlim |   pl_bmasse |   pl_bmasseerr1 |   pl_bmasseerr2 |   pl_bmasselim |   pl_bmassj |   pl_bmassjerr1 |   pl_bmassjerr2 |   pl_bmassjlim | pl_bmassprov     |   pl_orbeccen |   pl_orbeccenerr1 |   pl_orbeccenerr2 |   pl_orbeccenlim |   pl_insol |   pl_insolerr1 |   pl_insolerr2 |   pl_insollim |   pl_eqt |   pl_eqterr1 |   pl_eqterr2 |   pl_eqtlim |   ttv_flag | st_spectype   |   st_teff |   st_tefferr1 |   st_tefferr2 |   st_tefflim |   st_rad |   st_raderr1 |   st_raderr2 |   st_radlim |   st_mass |   st_masserr1 |   st_masserr2 |   st_masslim |   st_met |   st_meterr1 |   st_meterr2 |   st_metlim | st_metratio   |   st_logg |   st_loggerr1 |   st_loggerr2 |   st_logglim | rastr        |        ra | decstr        |        dec |    sy_dist |   sy_disterr1 |   sy_disterr2 |   sy_vmag |   sy_vmagerr1 |   sy_vmagerr2 |   sy_kmag |   sy_kmagerr1 |   sy_kmagerr2 |   sy_gaiamag |   sy_gaiamagerr1 |   sy_gaiamagerr2 |
|  913 | HD 23472 f           | HD 23472           |         1 |         5 | Transit           |        2022 | Transiting Exoplanet Survey Satellite (TESS) |                 0 |   12.1622   |        0.00012  |       -9.9e-05  |              0 |     0.0906   |         0.0014   |        -0.0014   |               0 |     1.137 |         0.084 |        -0.077 |            0 |     0.101 |         0.007 |        -0.007 |            0 |     0.77    |         0.44    |        -0.4     |              0 |     0.00242 |         0.00138 |        -0.00126 |              0 | Mass             |        0.07   |          0.048    |         -0.051    |                0 |      26.3  |           2.9  |          -2.6  |             0 |      630 |           27 |          -23 |           0 |          0 | K4 V          |   4684    |         99    |        -99    |            0 |     0.71 |         0.02 |        -0.02 |           0 |      0.67 |          0.03 |         -0.03 |            0 |   -0.2   |        0.05  |       -0.05  |           0 | [Fe/H]        |      4.53 |          0.08 |         -0.08 |            0 | 03h41m50.17s |  55.459   | -62d46m02.16s | -62.7673   |   39.0341  |       0.0401  |      -0.04    |   9.73    |         0.03  |        -0.03  |     7.207 |         0.023 |        -0.023 |      9.38476 |        0.000227  |       -0.000227  |
| 1165 | HD 93963 A b         | HD 93963 A         |         2 |         2 | Transit           |        2022 | Transiting Exoplanet Survey Satellite (TESS) |                 0 |    1.03914  |        4.9e-06  |       -4.9e-06  |              0 |     0.02085  |         0.00037  |        -0.00037  |               0 |     1.35  |         0.042 |        -0.042 |            0 |     0.12  |         0.004 |        -0.004 |            0 |     7.8     |         3.2     |        -3.2     |              0 |     0.02454 |         0.01007 |        -0.01007 |              0 | Mass             |      nan      |        nan        |        nan        |              nan |    2898    |         157    |        -147    |             0 |     2042 |           27 |          -27 |           0 |          0 | G0 V          |   5987    |         64    |        -64    |            0 |     1.04 |         0.01 |        -0.01 |           0 |      1.11 |          0.04 |         -0.04 |            0 |    0.1   |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.49 |          0.11 |         -0.11 |            0 | 10h51m06.41s | 162.777   | +25d38m27.83s |  25.6411   |   82.3432  |       0.3932  |      -0.3896  |   9.182   |         0.003 |        -0.003 |     7.776 |         0.024 |        -0.024 |      9.03376 |        0.000473  |       -0.000473  |
| 1276 | K2-102 b             | K2-102             |         1 |         1 | Transit           |        2016 | K2                                           |                 0 |    9.91562  |        0.001209 |       -0.001195 |              0 |   nan        |       nan        |       nan        |             nan |     1.3   |         0.1   |        -0.1   |            0 |     0.116 |         0.009 |        -0.009 |            0 |     2.24    |       nan       |       nan       |              0 |     0.00705 |       nan       |       nan       |              0 | M-R relationship |        0.1    |          0.16     |         -0.07     |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | K5            |   4695    |         50    |        -50    |            0 |     0.71 |         0.03 |        -0.03 |           0 |      0.77 |          0.06 |         -0.06 |            0 |    0.14  |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.53 |          0.11 |         -0.08 |            0 | 08h40m13.41s | 130.056   | +19d46m43.51s |  19.7788   |  188.175   |       2.065   |      -2.022   |  13.083   |         0.103 |        -0.103 |    10.64  |         0.02  |        -0.02  |     12.8466  |        0.000602  |       -0.000602  |
| 1312 | K2-136 b             | K2-136             |         2 |         3 | Transit           |        2017 | K2                                           |                 0 |    7.97529  |        0.000833 |       -0.00077  |              0 |   nan        |       nan        |       nan        |             nan |     0.99  |         0.06  |        -0.04  |            0 |     0.088 |         0.005 |        -0.004 |            0 |     0.937   |       nan       |       nan       |              0 |     0.00295 |       nan       |       nan       |              0 | M-R relationship |        0.1    |          0.19     |         -0.07     |                0 |     nan    |         nan    |         nan    |           nan |      553 |           17 |          -27 |           0 |          0 | K5.5          |   4499    |         50    |        -50    |            0 |     0.66 |         0.02 |        -0.02 |           0 |      0.74 |          0.02 |         -0.02 |            0 |    0.15  |        0.03  |       -0.03  |           0 | [Fe/H]        |      4.66 |          0.02 |         -0.02 |            0 | 04h29m39.09s |  67.4129  | +22d52m57.24s |  22.8826   |   59.2474  |       0.1877  |      -0.1865  |  11.101   |         0.057 |        -0.057 |     8.368 |         0.019 |        -0.019 |     10.8545  |        0.000535  |       -0.000535  |
| 1314 | K2-136 d             | K2-136             |         2 |         3 | Transit           |        2017 | K2                                           |                 0 |   25.5751   |        0.002418 |       -0.002357 |              0 |   nan        |       nan        |       nan        |             nan |     1.45  |         0.11  |        -0.08  |            0 |     0.129 |         0.01  |        -0.007 |            0 |     2.7     |       nan       |       nan       |              0 |     0.00849 |       nan       |       nan       |              0 | M-R relationship |        0.14   |          0.13     |         -0.09     |                0 |     nan    |         nan    |         nan    |           nan |      373 |           18 |          -17 |           0 |          0 | K5.5          |   4499    |         50    |        -50    |            0 |     0.66 |         0.02 |        -0.02 |           0 |      0.74 |          0.02 |         -0.02 |            0 |    0.15  |        0.03  |       -0.03  |           0 | [Fe/H]        |      4.66 |          0.02 |         -0.02 |            0 | 04h29m39.09s |  67.4129  | +22d52m57.24s |  22.8826   |   59.2474  |       0.1877  |      -0.1865  |  11.101   |         0.057 |        -0.057 |     8.368 |         0.019 |        -0.019 |     10.8545  |        0.000535  |       -0.000535  |
| 1316 | K2-138 b             | K2-138             |         1 |         6 | Transit           |        2017 | K2                                           |                 0 |    2.35309  |        0.00022  |       -0.00022  |              0 |     0.03385  |         0.00023  |        -0.00029  |               0 |     1.51  |         0.11  |        -0.084 |            0 |     0.135 |         0.01  |        -0.007 |            0 |     3.1     |         1.05    |        -1.05    |              0 |     0.00975 |         0.0033  |        -0.0033  |              0 | Mass             |        0.048  |          0.054    |         -0.033    |                0 |     486    |          37    |         -35    |             0 |     1157 |           78 |          -74 |           0 |          0 | G8 V          |   5356.3  |         41.8  |        -13.1  |            0 |     0.86 |         0.03 |        -0.02 |           0 |      0.94 |          0.02 |         -0.02 |            0 |    0.14  |        0.04  |       -0.04  |           0 | [M/H]         |      4.54 |          0.02 |         -0.04 |            0 | 23h15m47.77s | 348.949   | -10d50m59.06s | -10.8497   |  202.585   |       2.028   |      -1.989   |  12.246   |         0.092 |        -0.092 |    10.305 |         0.021 |        -0.021 |     12.0252  |        0.000364  |       -0.000364  |
| 1325 | K2-141 b             | K2-141             |         1 |         2 | Transit           |        2018 | K2                                           |                 0 |    0.280324 |        1.5e-06  |       -1.5e-06  |              0 |     0.00716  |         0.00055  |        -0.00065  |               0 |     1.51  |         0.05  |        -0.05  |            0 |     0.135 |         0.004 |        -0.004 |            0 |     5.08    |         0.41    |        -0.41    |              0 |     0.01598 |         0.00129 |        -0.00129 |              0 | Mass             |        0      |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |     2039 |           87 |          -48 |           0 |          0 | K7 V          |   4599    |         79    |        -79    |            0 |     0.68 |         0.02 |        -0.02 |           0 |      0.71 |          0.03 |         -0.03 |            0 |   -0.06  |        0.08  |       -0.1   |           0 | [Fe/H]        |      4.62 |          0.02 |         -0.03 |            0 | 23h23m40.09s | 350.917   | -01d11m21.06s |  -1.18918  |   61.8736  |       0.1662  |      -0.1654  |  11.454   |         0.023 |        -0.023 |     8.401 |         0.023 |        -0.023 |     10.7217  |        0.000692  |       -0.000692  |
| 1398 | K2-19 d              | K2-19              |         1 |         3 | Transit           |        2016 | K2                                           |                 0 |    2.5081   |        0.0002   |       -0.0002   |              0 |     0.0344   |         0.0006   |        -0.0006   |               0 |     1.11  |         0.05  |        -0.05  |            0 |     0.099 |         0.004 |        -0.004 |            0 |    10       |       nan       |       nan       |              1 |     0.03146 |       nan       |       nan       |              1 | Mass             |        0      |        nan        |        nan        |                0 |     583.5  |          66.7  |         -66.7  |             0 |     1252 |           36 |          -36 |           0 |          1 | G9 V          |   5322    |        100    |       -100    |            0 |     0.82 |         0.03 |        -0.03 |           0 |      0.88 |          0.03 |         -0.03 |            0 |    0.06  |        0.05  |       -0.05  |           0 | [Fe/H]        |      4.51 |          0.08 |         -0.08 |            0 | 11h39m50.46s | 174.96    | +00d36m12.95s |   0.603596 |  289.827   |       5.68    |      -5.469   |  13.024   |         0.092 |        -0.092 |    11.161 |         0.026 |        -0.026 |     12.8153  |        0.000455  |       -0.000455  |
| 1451 | K2-229 b             | K2-229             |         1 |         2 | Transit           |        2018 | K2                                           |                 0 |    0.584216 |        2.2e-05  |       -2.2e-05  |              0 |     0.0131   |         0        |         0        |               0 |     1     |         0.02  |        -0.02  |            0 |     0.089 |         0.002 |        -0.002 |            0 |     2.49    |         0.42    |        -0.43    |              0 |     0.00783 |         0.00132 |        -0.00135 |              0 | Mass             |        0      |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |     1818 |           14 |          -15 |           0 |          0 | G9            |   5315    |         35    |        -35    |            0 |     0.79 |         0.01 |        -0.01 |           0 |      0.87 |          0.01 |         -0.01 |            0 |   -0.09  |        0.02  |       -0.02  |           0 | [Fe/H]        |      4.6  |          0.01 |         -0.01 |            0 | 12h27m29.50s | 186.873   | -06d43m18.65s |  -6.72185  |  102.564   |       1.093   |      -1.07    |  10.985   |         0.017 |        -0.017 |     9.05  |         0.023 |        -0.023 |     10.7861  |        0.001541  |       -0.001541  |
| 1456 | K2-233 b             | K2-233             |         1 |         3 | Transit           |        2018 | K2                                           |                 0 |    2.4675   |        4e-05    |       -4e-05    |              0 |     0.03308  |         0.0001   |        -9e-05    |               0 |     1.343 |         0.018 |        -0.016 |            0 |     0.12  |         0.002 |        -0.001 |            0 |    11.26    |       nan       |       nan       |              1 |     0.03543 |       nan       |       nan       |              1 | Mass             |        0.079  |          0.048    |         -0.029    |                0 |     273    |          30    |         -30    |             0 |     1121 |           10 |           -9 |           0 |          0 | K3            |   5033    |         41    |        -35    |            0 |     0.71 |         0.01 |        -0.01 |           0 |      0.79 |          0.01 |         -0.01 |            0 |   -0.09  |        0.03  |       -0.03  |           0 | [Fe/H]        |      4.64 |          0.01 |         -0.01 |            0 | 15h21m55.18s | 230.48    | -20d13m54.47s | -20.2318   |   67.5062  |       0.2799  |      -0.2775  |  10.883   |         0.014 |        -0.014 |     8.375 |         0.023 |        -0.023 |     10.4191  |        0.000343  |       -0.000343  |
| 1457 | K2-233 c             | K2-233             |         1 |         3 | Transit           |        2018 | K2                                           |                 0 |    7.06005  |        0.00024  |       -0.00027  |              0 |     0.06666  |         0.0002   |        -0.00018  |               0 |     1.281 |         0.022 |        -0.021 |            0 |     0.114 |         0.002 |        -0.002 |            0 |    12.81    |       nan       |       nan       |              1 |     0.0403  |       nan       |       nan       |              1 | Mass             |        0.2002 |        nan        |        nan        |                1 |      67.1  |           7.4  |          -7.3  |             0 |      790 |            7 |           -6 |           0 |          0 | K3            |   5033    |         41    |        -35    |            0 |     0.71 |         0.01 |        -0.01 |           0 |      0.79 |          0.01 |         -0.01 |            0 |   -0.09  |        0.03  |       -0.03  |           0 | [Fe/H]        |      4.64 |          0.01 |         -0.01 |            0 | 15h21m55.18s | 230.48    | -20d13m54.47s | -20.2318   |   67.5062  |       0.2799  |      -0.2775  |  10.883   |         0.014 |        -0.014 |     8.375 |         0.023 |        -0.023 |     10.4191  |        0.000343  |       -0.000343  |
| 1558 | K2-32 e              | K2-32              |         2 |         4 | Transit           |        2019 | K2                                           |                 0 |    4.34934  |        0.00039  |       -0.00039  |              0 |     0.04899  |         0.00041  |        -0.00038  |               0 |     1.212 |         0.052 |        -0.046 |            0 |     0.108 |         0.005 |        -0.004 |            0 |     2.1     |         1.3     |        -1.1     |              0 |     0.00661 |         0.00409 |        -0.00346 |              0 | Mass             |        0.043  |          0.048    |         -0.03     |                0 |     nan    |         nan    |         nan    |           nan |     1066 |           16 |          -18 |           0 |          0 | G9 V          |   5271    |         39    |        -35    |            0 |     0.86 |         0.02 |        -0.02 |           0 |      0.83 |          0.02 |         -0.02 |            0 |   -0.06  |        0.03  |       -0.03  |           0 | [Fe/H]        |      4.49 |          0.03 |         -0.03 |            0 | 16h49m42.24s | 252.426   | -19d32m34.98s | -19.5431   |  157.682   |       1.309   |      -1.288   |  12.304   |         0.092 |        -0.092 |     9.821 |         0.019 |        -0.019 |     12.0036  |        0.000259  |       -0.000259  |
| 1592 | K2-35 b              | K2-35              |         1 |         2 | Transit           |        2016 | K2                                           |                 0 |    2.39996  |        0.000198 |       -0.000204 |              0 |     0.031    |         0.001    |        -0.001    |               0 |     1.32  |         0.08  |        -0.08  |            0 |     0.118 |         0.007 |        -0.007 |            0 |     2.3     |       nan       |       nan       |              0 |     0.00724 |       nan       |       nan       |              0 | M-R relationship |        0.13   |          0.173535 |         -0.105654 |                0 |     211    |          37.4  |         -32.5  |             0 |      979 |           29 |          -29 |           0 |          0 | K4 V          |   4402.71 |         95.55 |        -93.27 |            0 |     0.62 |         0.03 |        -0.03 |           0 |      0.7  |          0.07 |         -0.07 |            0 |    0.04  |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.7  |          0.07 |         -0.07 |            0 | 11h20m24.74s | 170.103   | +01d17m09.12s |   1.28587  |  252.596   |       2.4395  |      -2.4395  |  14.166   |         0.172 |        -0.172 |    11.423 |         0.021 |        -0.021 |     13.9152  |        0.000398  |       -0.000398  |
| 1606 | K2-36 b              | K2-36              |         1 |         2 | Transit           |        2016 | K2                                           |                 0 |    1.42261  |        3.8e-05  |       -3.8e-05  |              0 |     0.0223   |         0.0004   |        -0.0004   |               0 |     1.43  |         0.08  |        -0.08  |            0 |     0.128 |         0.007 |        -0.007 |            0 |     3.9     |         1.1     |        -1.1     |              0 |     0.01227 |         0.00346 |        -0.00346 |              0 | Mass             |        0      |        nan        |        nan        |                0 |     529    |          23    |         -23    |             0 |     1224 |           13 |          -13 |           0 |          0 | K2 V          |   4916    |         35    |        -37    |            0 |     0.72 |         0.01 |        -0.01 |           0 |      0.79 |          0.01 |         -0.01 |            0 |   -0.09  |        0.06  |       -0.04  |           0 | [Fe/H]        |      4.62 |          0.01 |          0    |            0 | 11h17m47.76s | 169.449   | +03d51m59.41s |   3.8665   |  109.749   |       0.615   |      -0.609   |  11.726   |         0.037 |        -0.037 |     9.454 |         0.025 |        -0.025 |     11.527   |        0.000904  |       -0.000904  |
| 1622 | K2-374 b             | K2-374             |         1 |         2 | Transit           |        2022 | K2                                           |                 0 |    4.52195  |        0.00032  |       -0.000409 |              0 |   nan        |       nan        |       nan        |             nan |     1.593 |         0.061 |        -0.058 |            0 |     0.142 |         0.005 |        -0.005 |            0 |     3.16    |       nan       |       nan       |              0 |     0.00996 |       nan       |       nan       |              0 | M-R relationship |      nan      |        nan        |        nan        |              nan |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | G3            |   5789    |         21    |        -21    |            0 |     0.91 |         0.02 |        -0.02 |           0 |      0.73 |          0.07 |         -0.06 |            0 |   -0.292 |        0.02  |       -0.02  |           0 | [Fe/H]        |      4.39 |          0.04 |         -0.04 |            0 | 09h09m31.08s | 137.379   | +16d21m21.00s |  16.3558   |  359.439   |       5.293   |      -5.144   |  12.783   |         0.092 |        -0.092 |    11.287 |         0.02  |        -0.02  |     12.6473  |        0.000177  |       -0.000177  |
| 1629 | K2-38 b              | K2-38              |         1 |         2 | Transit           |        2016 | K2                                           |                 0 |    4.01593  |        0.0005   |       -0.0005   |              0 |     0.04994  |         0.00048  |        -0.00049  |               0 |     1.54  |         0.14  |        -0.14  |            0 |     0.137 |         0.012 |        -0.012 |            0 |     7.3     |         1.1     |        -1       |              0 |     0.02297 |         0.00346 |        -0.00315 |              0 | Mass             |        0.197  |          0.067    |         -0.06     |                0 |     426    |          67    |         -60    |             0 |     1266 |           44 |          -50 |           0 |          0 | G2 V          |   5731    |         66    |        -66    |            0 |     1.06 |         0.09 |        -0.06 |           0 |      1.03 |          0.04 |         -0.02 |            0 |    0.26  |        0.05  |       -0.05  |           0 | [Fe/H]        |      4.38 |          0.11 |         -0.11 |            0 | 16h00m07.99s | 240.033   | -23d11m21.91s | -23.1894   |  192.69    |       2.669   |      -2.597   |  11.344   |         0.023 |        -0.023 |     9.47  |         0.021 |        -0.021 |     11.184   |        0.001015  |       -0.001015  |
| 1650 | K2-391 b             | K2-391             |         1 |         1 | Transit           |        2022 | K2                                           |                 0 |    4.62265  |        0.000223 |       -0.000252 |              0 |   nan        |       nan        |       nan        |             nan |     1.371 |         0.284 |        -0.188 |            0 |     0.122 |         0.025 |        -0.017 |            0 |     2.45    |       nan       |       nan       |              0 |     0.00772 |       nan       |       nan       |              0 | M-R relationship |      nan      |        nan        |        nan        |              nan |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | G7            |   5543    |        138    |       -138    |            0 |     0.57 |         0.11 |        -0.08 |           0 |      0.76 |          0.34 |         -0.24 |            0 |   -0.543 |        0.278 |       -0.278 |           0 | [Fe/H]        |      4.97 |          0.15 |         -0.15 |            0 | 23h44m54.24s | 356.226   | -07d42m05.45s |  -7.70152  |  507.94    |      16.546   |     -15.55    |  12.527   |         0.08  |        -0.08  |    10.705 |         0.023 |        -0.023 |     12.3302  |        0.000211  |       -0.000211  |
| 1656 | K2-396 b             | K2-396             |         1 |         2 | Transit           |        2022 | K2                                           |                 0 |    0.673862 |        1.6e-05  |       -1.9e-05  |              0 |   nan        |       nan        |       nan        |             nan |     1.579 |         0.114 |        -0.103 |            0 |     0.141 |         0.01  |        -0.009 |            0 |     3.12    |       nan       |       nan       |              0 |     0.00981 |       nan       |       nan       |              0 | M-R relationship |      nan      |        nan        |        nan        |              nan |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | G9            |   5236    |        138    |       -138    |            0 |     0.92 |         0.06 |        -0.06 |           0 |      0.95 |          0.43 |         -0.29 |            0 |    0.237 |        0.235 |       -0.235 |           0 | [Fe/H]        |      4.49 |          0.15 |         -0.15 |            0 | 04h58m46.29s |  74.6929  | +17d16m08.60s |  17.2691   |  274.864   |       2.884   |      -2.825   |  13.32    |         0.069 |        -0.069 |    10.811 |         0.02  |        -0.02  |     12.9345  |        0.000339  |       -0.000339  |
| 1670 | K2-407 b             | K2-407             |         1 |         2 | Transit           |        2022 | K2                                           |                 0 |    4.94191  |        0.000661 |       -0.000696 |              0 |   nan        |       nan        |       nan        |             nan |     1.283 |         0.097 |        -0.089 |            0 |     0.114 |         0.009 |        -0.008 |            0 |     2.19    |       nan       |       nan       |              0 |     0.0069  |       nan       |       nan       |              0 | M-R relationship |      nan      |        nan        |        nan        |              nan |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | G4            |   5563    |        138    |       -138    |            0 |     0.93 |         0.06 |        -0.05 |           0 |      0.88 |          0.39 |         -0.27 |            0 |    0.014 |        0.235 |       -0.235 |           0 | [Fe/H]        |      4.45 |          0.15 |         -0.15 |            0 | 15h30m13.26s | 232.555   | -23d00m24.25s | -23.0067   |  218.376   |       1.676   |      -1.651   |  11.969   |         0.041 |        -0.041 |    10.213 |         0.022 |        -0.022 |     11.9956  |        0.000252  |       -0.000252  |
| 1671 | K2-407 c             | K2-407             |         1 |         2 | Transit           |        2022 | K2                                           |                 0 |    9.22453  |        0.001322 |       -0.000911 |              0 |   nan        |       nan        |       nan        |             nan |     1.36  |         0.096 |        -0.088 |            0 |     0.121 |         0.009 |        -0.008 |            0 |     2.42    |       nan       |       nan       |              0 |     0.00761 |       nan       |       nan       |              0 | M-R relationship |      nan      |        nan        |        nan        |              nan |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | G4            |   5563    |        138    |       -138    |            0 |     0.93 |         0.06 |        -0.05 |           0 |      0.88 |          0.39 |         -0.27 |            0 |    0.014 |        0.235 |       -0.235 |           0 | [Fe/H]        |      4.45 |          0.15 |         -0.15 |            0 | 15h30m13.26s | 232.555   | -23d00m24.25s | -23.0067   |  218.376   |       1.676   |      -1.651   |  11.969   |         0.041 |        -0.041 |    10.213 |         0.022 |        -0.022 |     11.9956  |        0.000252  |       -0.000252  |
| 1840 | KMT-2021-BLG-0912L b | KMT-2021-BLG-0912L |         1 |         1 | Microlensing      |        2022 | KMTNet                                       |                 0 |  nan        |      nan        |      nan        |            nan |     3.14     |         3.94     |        -2.33     |               0 |     1.49  |       nan     |       nan     |            0 |     0.133 |       nan     |       nan     |            0 |     2.81    |         1.08    |        -0.99    |              0 |     0.00884 |         0.0034  |        -0.00311 |              0 | Mass             |      nan      |        nan        |        nan        |              nan |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | K             |    nan    |        nan    |        nan    |          nan |   nan    |       nan    |       nan    |         nan |      0.8  |          0.31 |         -0.28 |            0 |  nan     |      nan     |      nan     |         nan | nan           |    nan    |        nan    |        nan    |          nan | 17h59m17.08s | 269.821   | -31d59m51.50s | -31.9976   | 5560       |    1430       |   -1430       | nan       |       nan     |       nan     |   nan     |       nan     |       nan     |    nan       |      nan         |      nan         |
| 1905 | Kepler-101 c         | Kepler-101         |         1 |         2 | Transit           |        2014 | Kepler                                       |                 0 |    6.02976  |        7.5e-05  |       -7.5e-05  |              0 |     0.0684   |         0.0014   |        -0.0014   |               0 |     1.25  |         0.19  |        -0.17  |            0 |     0.112 |         0.017 |        -0.015 |            0 |     3.78    |       nan       |       nan       |              1 |     0.01    |       nan       |       nan       |              1 | Mass             |        0      |        nan        |        nan        |                0 |     596.07 |          22.26 |         -21.42 |             0 |     1413 |          238 |         -210 |           0 |          0 | G3 IV         |   5667    |         50    |        -50    |            0 |     1.56 |         0.2  |        -0.2  |           0 |      1.17 |          0.07 |         -0.05 |            0 |    0.33  |        0.07  |       -0.07  |           0 | [Fe/H]        |      4.12 |          0.11 |         -0.09 |            0 | 18h53m01.32s | 283.256   | +48d21m18.89s |  48.3552   |  927.981   |      14.7985  |     -14.7985  |  13.7     |         0.069 |        -0.069 |    12.011 |         0.02  |        -0.02  |     13.5672  |        0.000214  |       -0.000214  |
| 2792 | Kepler-167 d         | Kepler-167         |         2 |         4 | Transit           |        2016 | Kepler                                       |                 0 |   21.8038   |        0.00013  |       -0.00018  |              0 |     0.1404   |         0.002    |        -0.002    |               0 |     1.238 |         0.064 |        -0.064 |            0 |     0.11  |         0.006 |        -0.006 |            0 |     2.06    |       nan       |       nan       |              0 |     0.00649 |       nan       |       nan       |              0 | M-R relationship |        0      |        nan        |        nan        |                0 |      14.49 |           0.34 |          -0.34 |             0 |      538 |           16 |          -16 |           0 |          0 | K4            |   4884    |         69    |        -75    |            0 |     0.75 |         0.02 |        -0.02 |           0 |      0.78 |          0.03 |         -0.03 |            0 |    0.02  |        0.067 |       -0.067 |           0 | [Fe/H]        |      4.58 |          0.03 |         -0.03 |            0 | 19h30m38.05s | 292.659   | +38d20m44.00s |  38.3456   |  341.908   |       1.973   |      -1.973   |  14.284   |         0.126 |        -0.126 |    11.832 |         0.022 |        -0.022 |     14.0004  |        0.000288  |       -0.000288  |
| 3826 | Kepler-444 d         | Kepler-444         |         3 |         5 | Transit           |        2015 | Kepler                                       |                 0 |    6.18939  |        1.2e-05  |       -1.2e-05  |              0 |     0.06     |         0.0011   |        -0.0011   |               0 |     0.53  |         0.022 |        -0.019 |            0 |     0.047 |         0.002 |        -0.002 |            0 |     0.2     |         0.5     |        -0.1     |              0 |     0.00063 |         0.00157 |        -0.00031 |              0 | Mass             |        0.18   |          0.16     |         -0.12     |                0 |     109.64 |           2.03 |          -2.01 |             0 |      783 |          nan |          nan |           0 |          0 | K             |   5046    |         74    |        -74    |            0 |     0.75 |         0.01 |        -0.01 |           0 |      0.76 |          0.04 |         -0.04 |            0 |   -0.55  |        0.07  |       -0.07  |           0 | [Fe/H]        |      4.56 |          0.01 |         -0.01 |            0 | 19h19m00.68s | 289.753   | +41d37m54.78s |  41.6319   |   36.4396  |       0.0395  |      -0.0394  |   8.87    |         0.03  |        -0.03  |     6.703 |         0.02  |        -0.02  |      8.64325 |        0.000336  |       -0.000336  |
| 3827 | Kepler-444 e         | Kepler-444         |         3 |         5 | Transit           |        2015 | Kepler                                       |                 0 |    7.74349  |        1.7e-05  |       -1.6e-05  |              0 |     0.0696   |         0.0013   |        -0.0013   |               0 |     0.546 |         0.017 |        -0.015 |            0 |     0.049 |         0.002 |        -0.001 |            0 |     0.1     |         0.2     |        -0.1     |              0 |     0.00031 |         0.00063 |        -0.00031 |              0 | Mass             |        0.1    |          0.2      |         -0.07     |                0 |      81.34 |           1.5  |          -1.49 |             0 |      727 |          nan |          nan |           0 |          0 | K             |   5046    |         74    |        -74    |            0 |     0.75 |         0.01 |        -0.01 |           0 |      0.76 |          0.04 |         -0.04 |            0 |   -0.55  |        0.07  |       -0.07  |           0 | [Fe/H]        |      4.56 |          0.01 |         -0.01 |            0 | 19h19m00.68s | 289.753   | +41d37m54.78s |  41.6319   |   36.4396  |       0.0395  |      -0.0394  |   8.87    |         0.03  |        -0.03  |     6.703 |         0.02  |        -0.02  |      8.64325 |        0.000336  |       -0.000336  |
