+------+----------------------+--------------------+-----------+-----------+-------------------+-------------+----------------------------------------------+-------------------+-------------+-----------------+-----------------+----------------+--------------+------------------+------------------+-----------------+-----------+---------------+---------------+--------------+-----------+---------------+---------------+--------------+-------------+-----------------+-----------------+----------------+-------------+-----------------+-----------------+----------------+------------------+---------------+-------------------+-------------------+------------------+------------+----------------+----------------+---------------+----------+--------------+--------------+-------------+------------+---------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+---------------+-----------+---------------+---------------+--------------+--------------+-----------+---------------+------------+------------+---------------+---------------+-----------+---------------+---------------+-----------+---------------+---------------+--------------+------------------+------------------+
|      | pl_name              | hostname           |   sy_snum |   sy_pnum | discoverymethod   |   disc_year | disc_facility                                |   pl_controv_flag |   pl_orbper |   pl_orbpererr1 |   pl_orbpererr2 |   pl_orbperlim |   pl_orbsmax |   pl_orbsmaxerr1 |   pl_orbsmaxerr2 |   pl_orbsmaxlim |   pl_rade |   pl_radeerr1 |   pl_radeerr2 |   pl_radelim |   pl_radj |   pl_radjerr1 |   pl_radjerr2 |   pl_radjlim |   pl_bmasse |   pl_bmasseerr1 |   pl_bmasseerr2 |   pl_bmasselim |   pl_bmassj |   pl_bmassjerr1 |   pl_bmassjerr2 |   pl_bmassjlim | pl_bmassprov     |   pl_orbeccen |   pl_orbeccenerr1 |   pl_orbeccenerr2 |   pl_orbeccenlim |   pl_insol |   pl_insolerr1 |   pl_insolerr2 |   pl_insollim |   pl_eqt |   pl_eqterr1 |   pl_eqterr2 |   pl_eqtlim |   ttv_flag | st_spectype   |   st_teff |   st_tefferr1 |   st_tefferr2 |   st_tefflim |   st_rad |   st_raderr1 |   st_raderr2 |   st_radlim |   st_mass |   st_masserr1 |   st_masserr2 |   st_masslim |   st_met |   st_meterr1 |   st_meterr2 |   st_metlim | st_metratio   |   st_logg |   st_loggerr1 |   st_loggerr2 |   st_logglim | rastr        |        ra | decstr        |        dec |    sy_dist |   sy_disterr1 |   sy_disterr2 |   sy_vmag |   sy_vmagerr1 |   sy_vmagerr2 |   sy_kmag |   sy_kmagerr1 |   sy_kmagerr2 |   sy_gaiamag |   sy_gaiamagerr1 |   sy_gaiamagerr2 |
|  830 | HD 20794 c           | HD 20794           |         1 |         4 | Radial Velocity   |        2011 | La Silla Observatory                         |                 0 |   40.114    |        0.053    |       -0.053    |              0 |     0.2036   |         0.0034   |        -0.0034   |               0 |     1.35  |       nan     |       nan     |            0 |     0.121 |       nan     |       nan     |            0 |     2.4     |         0.4     |        -0.4     |              0 |     0.0076  |         0.0013  |        -0.0013  |              0 | Msin(i)/sin(i)   |        0      |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |      508 |          nan |          nan |           0 |          0 | G8 V          |   5401    |         17    |        -17    |            0 |     0.92 |         0.02 |        -0.02 |           0 |      0.7  |        nan    |        nan    |            0 |   -0.4   |        0.01  |       -0.01  |           0 | [Fe/H]        |      4.22 |          0.11 |         -0.11 |            0 | 03h19m59.94s |  49.9998  | -43d03m59.95s | -43.0667   |    6.00278 |       0.00854 |      -0.00851 |   4.26    |         0.03  |        -0.03  |     2.636 |         0.278 |        -0.278 |      4.06635 |        0.0051023 |       -0.0051023 |
|  853 | HD 215152 b          | HD 215152          |         1 |         4 | Radial Velocity   |        2018 | La Silla Observatory                         |                 0 |    5.75999  |        0.00157  |       -0.00175  |              0 |     0.057638 |         0.000739 |        -0.000759 |               0 |     1.19  |       nan     |       nan     |            0 |     0.106 |       nan     |       nan     |            0 |     1.819   |         0.501   |        -0.629   |              0 |     0.00572 |         0.00158 |        -0.00198 |              0 | Msini            |        0      |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | K3 V          |   4935    |         76    |        -76    |            0 |     0.73 |         0.02 |        -0.02 |           0 |      0.77 |          0.01 |         -0.01 |            0 |   -0.1   |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.4  |        nan    |        nan    |            0 | 22h43m21.14s | 340.838   | -06d24m07.45s |  -6.40207  |   21.5974  |       0.0488  |      -0.0485  |   8.11    |         0.03  |        -0.03  |     5.775 |         0.026 |        -0.026 |      7.80163 |        0.000391  |       -0.000391  |
|  854 | HD 215152 c          | HD 215152          |         1 |         4 | Radial Velocity   |        2018 | La Silla Observatory                         |                 0 |    7.28243  |        0.00451  |       -0.00827  |              0 |     0.067393 |         0.00086  |        -0.000893 |               0 |     1.17  |       nan     |       nan     |            0 |     0.105 |       nan     |       nan     |            0 |     1.72    |         0.618   |        -0.725   |              0 |     0.00541 |         0.00194 |        -0.00228 |              0 | Msini            |        0      |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | K3 V          |   4935    |         76    |        -76    |            0 |     0.73 |         0.02 |        -0.02 |           0 |      0.77 |          0.01 |         -0.01 |            0 |   -0.1   |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.4  |        nan    |        nan    |            0 | 22h43m21.14s | 340.838   | -06d24m07.45s |  -6.40207  |   21.5974  |       0.0488  |      -0.0485  |   8.11    |         0.03  |        -0.03  |     5.775 |         0.026 |        -0.026 |      7.80163 |        0.000391  |       -0.000391  |
|  855 | HD 215152 d          | HD 215152          |         1 |         4 | Radial Velocity   |        2018 | La Silla Observatory                         |                 0 |   10.865    |        0.00564  |       -0.00613  |              0 |     0.08799  |         0.00113  |        -0.00116  |               0 |     1.48  |       nan     |       nan     |            0 |     0.132 |       nan     |       nan     |            0 |     2.801   |         0.809   |        -0.923   |              0 |     0.00881 |         0.00255 |        -0.0029  |              0 | Msini            |        0      |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | K3 V          |   4935    |         76    |        -76    |            0 |     0.73 |         0.02 |        -0.02 |           0 |      0.77 |          0.01 |         -0.01 |            0 |   -0.1   |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.4  |        nan    |        nan    |            0 | 22h43m21.14s | 340.838   | -06d24m07.45s |  -6.40207  |   21.5974  |       0.0488  |      -0.0485  |   8.11    |         0.03  |        -0.03  |     5.775 |         0.026 |        -0.026 |      7.80163 |        0.000391  |       -0.000391  |
|  856 | HD 215152 e          | HD 215152          |         1 |         4 | Radial Velocity   |        2018 | La Silla Observatory                         |                 0 |   25.1967   |        0.0476   |       -0.0505   |              0 |     0.15417  |         0.00199  |        -0.00204  |               0 |     1.51  |       nan     |       nan     |            0 |     0.134 |       nan     |       nan     |            0 |     2.877   |         1.063   |        -1.481   |              0 |     0.00905 |         0.00334 |        -0.00466 |              0 | Msini            |        0      |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | K3 V          |   4935    |         76    |        -76    |            0 |     0.73 |         0.02 |        -0.02 |           0 |      0.77 |          0.01 |         -0.01 |            0 |   -0.1   |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.4  |        nan    |        nan    |            0 | 22h43m21.14s | 340.838   | -06d24m07.45s |  -6.40207  |   21.5974  |       0.0488  |      -0.0485  |   8.11    |         0.03  |        -0.03  |     5.775 |         0.026 |        -0.026 |      7.80163 |        0.000391  |       -0.000391  |
|  869 | HD 21749 c           | GJ 143             |         1 |         2 | Transit           |        2019 | Transiting Exoplanet Survey Satellite (TESS) |                 0 |    7.78993  |        0.00051  |       -0.00044  |              0 |     0.0695   |         0.0021   |        -0.0023   |               0 |     0.892 |         0.064 |        -0.058 |            0 |     0.08  |         0.006 |        -0.005 |            0 |     3.7     |       nan       |       nan       |              1 |     0.01164 |       nan       |       nan       |              1 | Mass             |      nan      |        nan        |        nan        |              nan |      42.63 |         nan    |         nan    |             0 |      701 |           25 |          -23 |           0 |          0 | K4.5          |   4640    |        100    |       -100    |            0 |     0.7  |         0.03 |        -0.03 |           0 |      0.73 |          0.07 |         -0.07 |            0 |    0.003 |        0.06  |       -0.06  |           0 | [Fe/H]        |      4.61 |          0.05 |         -0.06 |            0 | 03h27m00.05s |  51.7502  | -63d30m00.60s | -63.5002   |   16.32    |       0.0071  |      -0.0071  |   8.08    |         0.03  |        -0.03  |     5.375 |         0.024 |        -0.024 |      7.67906 |        0.00026   |       -0.00026   |
|  877 | HD 219134 c          | HD 219134          |         1 |         6 | Radial Velocity   |        2015 | Roque de los Muchachos Observatory           |                 0 |    6.76458  |        0.00033  |       -0.00033  |              0 |     0.0653   |         0.0008   |        -0.0008   |               0 |     1.511 |         0.047 |        -0.047 |            0 |     0.135 |         0.004 |        -0.004 |            0 |     4.36    |         0.22    |        -0.22    |              0 |     0.01372 |         0.00069 |        -0.00069 |              0 | Mass             |        0.062  |          0.039    |         -0.039    |                0 |      62.1  |           1.9  |          -1.9  |             0 |      782 |            6 |           -6 |           0 |          0 | K3 V          |   4699    |         16    |        -16    |            0 |     0.78 |         0.01 |        -0.01 |           0 |      0.81 |          0.03 |         -0.03 |            0 |    0.11  |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.57 |          0.02 |         -0.02 |            0 | 23h13m20.93s | 348.337   | +57d10m10.65s |  57.1696   |    6.53127 |       0.00384 |      -0.00385 |   5.56911 |         0.023 |        -0.023 |     3.261 |         0.304 |        -0.304 |      5.2402  |        0.0022257 |       -0.0022257 |
|  879 | HD 219134 f          | HD 219134          |         1 |         6 | Radial Velocity   |        2015 | Multiple Observatories                       |                 1 |   22.717    |        0.015    |       -0.015    |              0 |     0.1463   |         0.0018   |        -0.0018   |               0 |     1.31  |         0.02  |        -0.02  |           -1 |     0.117 |         0.002 |        -0.002 |           -1 |     7.3     |         0.4     |        -0.4     |             -1 |     0.02297 |         0.00126 |        -0.00126 |             -1 | Mass             |        0.148  |          0.047    |         -0.047    |                0 |      12.38 |           0.38 |          -0.38 |             0 |      523 |            4 |           -4 |           0 |          0 | K3 V          |   4699    |         16    |        -16    |            0 |     0.78 |         0.01 |        -0.01 |           0 |      0.81 |          0.03 |         -0.03 |            0 |    0.11  |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.57 |          0.02 |         -0.02 |            0 | 23h13m20.93s | 348.337   | +57d10m10.65s |  57.1696   |    6.53127 |       0.00384 |      -0.00385 |   5.56911 |         0.023 |        -0.023 |     3.261 |         0.304 |        -0.304 |      5.2402  |        0.0022257 |       -0.0022257 |
|  911 | HD 23472 d           | HD 23472           |         1 |         5 | Transit           |        2022 | Transiting Exoplanet Survey Satellite (TESS) |                 0 |    3.97664  |        3e-05    |       -4.4e-05  |              0 |     0.04298  |         0.00063  |        -0.00065  |               0 |     0.75  |         0.067 |        -0.057 |            0 |     0.067 |         0.006 |        -0.005 |            0 |     0.55    |         0.21    |        -0.2     |              0 |     0.00173 |         0.00066 |        -0.00063 |              0 | Mass             |        0.07   |          0.05     |         -0.047    |                0 |     117    |          13    |         -11    |             0 |      909 |           35 |          -32 |           0 |          0 | K4 V          |   4684    |         99    |        -99    |            0 |     0.71 |         0.02 |        -0.02 |           0 |      0.67 |          0.03 |         -0.03 |            0 |   -0.2   |        0.05  |       -0.05  |           0 | [Fe/H]        |      4.53 |          0.08 |         -0.08 |            0 | 03h41m50.17s |  55.459   | -62d46m02.16s | -62.7673   |   39.0341  |       0.0401  |      -0.04    |   9.73    |         0.03  |        -0.03  |     7.207 |         0.023 |        -0.023 |      9.38476 |        0.000227  |       -0.000227  |
|  912 | HD 23472 e           | HD 23472           |         1 |         5 | Transit           |        2022 | Transiting Exoplanet Survey Satellite (TESS) |                 0 |    7.90754  |        0.00011  |       -0.00011  |              0 |     0.068    |         0.001    |        -0.001    |               0 |     0.818 |         0.08  |        -0.065 |            0 |     0.073 |         0.007 |        -0.006 |            0 |     0.72    |         0.28    |        -0.27    |              0 |     0.00227 |         0.00088 |        -0.00085 |              0 | Mass             |        0.07   |          0.052    |         -0.047    |                0 |      46.7  |           5.1  |          -4.6  |             0 |      723 |           28 |          -25 |           0 |          0 | K4 V          |   4684    |         99    |        -99    |            0 |     0.71 |         0.02 |        -0.02 |           0 |      0.67 |          0.03 |         -0.03 |            0 |   -0.2   |        0.05  |       -0.05  |           0 | [Fe/H]        |      4.53 |          0.08 |         -0.08 |            0 | 03h41m50.17s |  55.459   | -62d46m02.16s | -62.7673   |   39.0341  |       0.0401  |      -0.04    |   9.73    |         0.03  |        -0.03  |     7.207 |         0.023 |        -0.023 |      9.38476 |        0.000227  |       -0.000227  |
